text,label,department,source_doc_id,created_at
This official correspondence declares that Internal memo is a routine update regarding the upcoming rfq cycle for office furniture and equipment . Please begin preparing your lists for any new purchase order requests you anticipate for next roughly quarter . No immediate action is required at this time .,contract,Legal,69ac46f4ccf5a94c0439bdb9,2026-03-07T15:41:01.705199+00:00
This document states that Salary in amount USD20000 to be distributed amongst employees of each department has been approved by administration . This is not inclusive of the bonus . The TAX listings must be submitted by the finance department before salary is distributed .,salary_listing,Finance,69ac4990e7d088b51a5a2cca,2026-03-07T15:52:35.955167+00:00
The text provided conveys information about EEnnttrreepprreenneeuurrsshhiipp DDeevveellooppmmeenntt 88tthhsseemm . SSccaann ttoo ooppeenn oonn SSttuuddooccuu SSttauddoococcuu iiss nnoott ssppoonnssoorreedd oorr eennddoorrsseedd bbyy aannyy ccoolllleeg,employee_handbook_acknowledgement,HR,69d3657d059faf38b9d2fb66,2026-04-06T07:50:08.879619+00:00
"The text provided conveys information about S.S.No: 1, Name: Rishi Arora, JobTitle: Co-founder . Pratik Sethi, Job Title: Principal Business Partner, Email: pratik.sethi@socgen.com, Phone1: 8412020750, Phone 1: 841220750 . CompanyName: Bain & Company, Industry Management Consulting, India, LinkedInUrl: https://www.linkedin.com/in/rishi-arora",employee_profile,HR,69d36547059faf38b9d2fb64,2026-04-06T07:50:10.502329+00:00
"The essential contents of this file suggest that Task ID: OP101, Task Name: Inventory Check, Assigned To: Amit Kumar, Department: Operations, Status: Completed, Deadline: 05-03-2026. Task ID : OP102, Task name: Logistics Coordination, Assignment To: Priya Singh, Department of Operations, status: In Progress, Deadline is 07-03 -2026 .",daily_report,Operations,69d4ad97dbcb3fd7bdbad8d6,2026-04-07T07:16:22.018744+00:00
"In this document, it is stated that Write a function to find out the 2nd highest number from an Array Answer . Write function ‘IsNumeric’ to check whether the given string is numeric Answer . Do not use any in-built functions like Date-Diff, Split, and Reverse .",audit_report,Finance,69d4b1aadbcb3fd7bdbad8dc,2026-04-07T07:43:54.979470+00:00
This document mentions: Unsupported file type.,cash_flow_statement,Finance,69da1e3902d8c3d707194b77,2026-04-12T09:51:44.626063+00:00
This document mentions: Error reading file: C:\Program Files\Tesseract-OCR\tesseract.exe is not installed or it's not in your PATH. See README file for more information.,project_report,Operations,69d4d4c9bf63fd78536fd81e,2026-04-12T15:06:34.086467+00:00
"As per this formal communication, it is noted that Nivedika Sharma is an Associate Software Engineer at TechNova Solutions Pvt. Ltd. Your annual salary will be ₹6,00,000 and joining date will be 1 April 2026 .",offer_letter,HR,69ebac716892d7a048c6a997,2026-04-24T17:48:27.704950+00:00
This notice states that Memo regarding Contract Administration . Memo is a standard notification to ensure all customer agreements align with our 2026 goals . Please acknowledge receipt of these internal changes at your earliest convenience .,legal_notice,Legal,69ebabef6892d7a048c6a995,2026-04-24T17:48:37.095670+00:00
"This document mentions: INVOICE Invoice No INV-1009 Date 15-Dec-2025 Vendor ACME Pvt Ltd Total Amount n74,104",purchase_invoice,Finance,69eba9636892d7a048c6a991,2026-04-24T17:48:45.595817+00:00
"The provided text outlines the details concerning Standard Operating Procedure (SOP) - Operations defines the standard workflow followed by the Operations Department to manage inventory, logistics, and vendor coordination . Process Description Inventory Check Daily monitoring of stock levels Vendor Coordination Communication with suppliers Logistics Management Scheduling shipment and delivery Approved by Operations Manager .",operations_report,Operations,69eba4946892d7a048c6a98f,2026-04-24T17:49:04.076201+00:00
This document mentions: Employee Information Form Name: Nivedika Sharma Employee ID: EMP101 Department: Engineering Designation: Associate Software Engineer Joining Date: 01 April 2026,employee_agreement,HR,69eba2ca6892d7a048c6a98d,2026-04-24T17:49:18.114559+00:00
"As per this formal communication, it is noted that Nivedika Sharma is an Associate Software Engineer at TechNova Solutions Pvt. Ltd. Your annual salary will be ₹6,00,000 and joining date will be 1 April 2026 .",offer_letter,HR,69eba0c96892d7a048c6a98b,2026-04-24T17:49:28.034823+00:00
This document mentions: Error reading file: `Import openpyxl` failed. Use pip or conda to install the openpyxl package.,employee_profile,HR,69eb9f546892d7a048c6a989,2026-04-24T17:49:43.628310+00:00
"This CV outlines a career trajectory, emphasizing that Non-Disclosure Agreement (NDA) This NDA is made between TechNova Solutions Pvt. Ltd. and Nivedika Sharma . Employee agrees not to disclose confidential information related to company projects, clients, software, or business strategies .",hr_nda,HR,69eaf7140dfbaf4fdb8239b6,2026-04-24T17:49:56.924073+00:00
"This record provides an overview of how Finance Department - Payment Schedule This document outlines upcoming financial obligations, deadlines, and urgency level for payments handled by the finance department . Preferred payment ID Description Amount (INR) Priority Deadline PAY101 Office Equipment Vendor 150000 Urgent 10-03-2026 .",payment_advice,Finance,69eaf5f30dfbaf4fdb8239b4,2026-04-24T17:50:16.822569+00:00
